"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"1012_P"	"1033_P"	"1058_P"	"1014_P"	"1035_P"	"1056_P"	"1016_P"	"1037_P"	"1018_P"	"1039_P"	"1050_P"	"1054_P"	"1010_P"	"1031_P"	"1052_P"	"1023_P"	"1046_P"	"1002_P"	"1044_P"	"1067_P"	"1004_P"	"1027_P"	"1006_P"	"1029_P"	"1048_P"	"1061_P"	"1042_P"	"1065_P"	"1021_P"	"1040_P"	"1019_P"	"1011_P"	"1034_P"	"1057_P"	"1013_P"	"1036_P"	"1055_P"	"1038_P"	"1017_P"	"1059_P"	"1030_P"	"1053_P"	"1032_P"	"1051_P"	"1009_P"	"1001_P"	"1068_P"	"1003_P"	"1024_P"	"1045_P"	"1066_P"	"1005_P"	"1026_P"	"1007_P"	"1049_P"	"1060_P"	"1043_P"	"1064_P"	"1020_P"	"1041_P"	"1062_P"
"ID_15174_OP"	""	""	""	"Muscarinic acetylcholine receptor M2 | Succinylcholine"	"337.2331146"	""	"M+HCOOH+H | M+HCOOH+H"	"1"	"675.5861113"	""	""	""	""	"3"	""	""	""	""	""	""	"29713.97461"	"8836.988281"	"18873.05273"	"10684.15234"	"28944.98828"	"10158.09863"	"10068.87891"	"7986.588379"	"12519.82129"	"9013.416992"	"11166.88965"	"9569.664063"	"18406.88672"	"3238.692139"	"7826.416504"	"11072.49805"	"15898.52344"	"25812.30859"	"11425.19238"	"28836.91992"	"18363.15625"	"11581.67676"	"13481.86426"	"8336.714844"	"48558.83203"	"13750.00781"	"21734.46094"	"56042.85547"	"11755.19141"	"25293.7832"	"16732.14844"	"15028.83789"	"13452.53027"	"12741.43359"	"16500.19922"	"17704.90625"	"8499.633789"	"8870.095703"	"101758.4219"	"85886.375"	"14949.61816"	"12117.55273"	"7773.601563"	"123568.5469"	"18031.98438"	"13420.13281"	"33854.46875"	"19357.26563"	"19723.74414"	"9826.882813"	"31960.20117"	"9552.793945"	"14354.51172"	"14095.93164"	"10218.08887"	"10370.57031"	"25774.41797"	"17109.55273"	"18420.23047"	"51820.28516"	"13132.34082"
"ID_1518_OP"	""	""	""	""	"203.1376029"	""	""	"1"	"49.17612236"	""	""	""	""	""	""	""	""	""	""	""	"62026.73047"	"95631.5625"	"39197.875"	"26289.12109"	"86855.63281"	"30310.83203"	"23123.20313"	"75520.66406"	"24295.75391"	"90392.60156"	"216012.2031"	"37105.58203"	"22203.40039"	"29087.01563"	"35338.43359"	"42716.74609"	"50807.16406"	"34827.3125"	"31233.62109"	"39769.78906"	"38830.39063"	""	"27182.3457"	"1420400.625"	"40946.91016"	"34480.11328"	"49524.15625"	"33254.15625"	"36546.87109"	"38338.67188"	"29026.73242"	"34482.94141"	"63912.98047"	"27709.15234"	"40298.65234"	"108210.8906"	""	"125466.6328"	"35552.67188"	"32970.27734"	"50239.71094"	"37479.45703"	"276969.8125"	"57549.12109"	"26235.8457"	"64833.14844"	"46341.09375"	"29099.85742"	"110323.9141"	"70983.875"	""	"40910.37109"	"95671.88281"	"20546.58594"	"125356.5859"	"35001.92188"	"347314.2188"	"33537.16016"	"29930.20898"	"29561.11914"	"49550.59766"
"ID_1519_OP"	""	""	""	"Halobetasol Propionate"	"485.1883922"	""	"M+H"	"1"	"267.6747142"	""	""	""	""	"3"	""	""	""	""	""	""	"842531.1875"	""	""	""	""	""	""	""	""	"323960.125"	"338756.7813"	"133330.4844"	"124124"	""	"76654.04688"	""	""	"2151467.5"	""	""	"2120875.75"	""	"94497.11719"	""	""	"81967.71094"	""	""	"256991.8438"	""	"96176.60938"	"275987.625"	""	""	"1488811.5"	""	""	"73381.97656"	""	""	"101087.7969"	"715760.625"	"940716.125"	""	""	"140438.4219"	""	""	"4039641.25"	""	""	"1058256.75"	"1372735.75"	""	""	"70151.27344"	"231190.0625"	""	""	""	""
"ID_15201_OP"	""	""	""	"Cytosolic phospholipase A2 beta | 1-(11Z-docosenoyl)-glycero-3-phosphocholine"	"578.41529"	""	"M+H | M+H"	"1"	"832.7864918"	""	""	""	""	"3"	""	""	""	""	""	""	"40106.80078"	"13758.18457"	"56863.30469"	"34422.37109"	"26126.25977"	"32243.80664"	"17207.33203"	"23947.78711"	"28551.22461"	"13727.41699"	""	"58804.68359"	"48985.31641"	"19205.66797"	"40503.87891"	"118995.2031"	"25589.9707"	"20741.18359"	"19342.30078"	"22644.55078"	"25652.79102"	"94919.91406"	"26583.66992"	"26970.93945"	"17013.28906"	"34221.13281"	"48784.06641"	"24668.85742"	"60730.14453"	"29828.875"	"10960.88477"	"12227.69727"	"10599.50488"	"18284.17969"	"24757.53125"	"29431.75391"	"64819.88281"	"19133.13281"	"21432.93945"	"27593.94336"	"9857.574219"	"17109.07422"	"78755.73438"	"44882.75391"	"21503.98438"	"20356.16016"	"44530.94141"	"56723.88672"	"33587.125"	"13060.12988"	"29492.21484"	"18827.42969"	"9474.040039"	"51109.16797"	"14001.52441"	"14282.3291"	"14138.55762"	"25873.98047"	"74531.0625"	"36303.79297"	"24260.40234"
"ID_15218_OP"	""	""	""	""	"521.4176075"	""	""	"1"	"832.5768347"	""	""	""	""	""	""	""	""	""	""	""	"26535.62891"	"9110.740234"	"16509.50195"	"24139.23633"	"26289.32227"	"17816.39648"	"25879.82813"	"19473.15234"	"52130.52344"	"28032.88281"	"22849.55469"	"8871.832031"	"35643.20313"	"30061.40234"	"13985.33496"	"27444.71484"	"33710.28516"	"20851.7168"	"35420.5625"	"35375.52734"	"15319.76855"	"6955.48877"	"25020.60547"	"29001.4043"	"25871.33984"	"26496.25391"	"27190.43359"	"39465.44141"	"38905.74609"	"14575.32617"	"120565.25"	"34688.17969"	"41969.83594"	"5761.1875"	"27725.77344"	"38921.90234"	"12704.44922"	"29638.24805"	"116374.5703"	"51959.64453"	"18132.77734"	"31619.26367"	"23839.05469"	"20652.79492"	"10413.9209"	"12743.12793"	"34076.4375"	"36962.44531"	"9640.763672"	"15476.45801"	"30197.70703"	"30690.5332"	"13086.48633"	"17842.24414"	"15395.40234"	"10387.49121"	"11252.82422"	"42019.21094"	""	"116629.7031"	"32995.67578"
"ID_15226_OP"	""	""	""	"R-2-hydroxystearate | (R)-10-Hydroxystearate | Linoleoyl ethanolamide | N-(9Z |12Z-octadecadienoyl)-ethanolamine | (S)-2-hydroxystearate | linoleoyl ethanolamide"	"346.2699562"	""	"M+HCOOH+H | M+HCOOH+H | M+Na | M+Na | M+HCOOH+H | M+Na"	"1"	"764.0459471"	""	""	""	""	"3"	""	""	""	""	""	""	"23963.54102"	"44396.82813"	"20285.91602"	"21923.77344"	"45223.3125"	"13062.31055"	"21120.90039"	"37216.04297"	"42801.13672"	"16289.09668"	"91775.10938"	"16937.59766"	"40547.14453"	"25168.33008"	"20398.02148"	"33356.08203"	"22075.48242"	"22497.32813"	"31147.75977"	"26076.54492"	"15354.62598"	"30219.95117"	"34882.04688"	"71700.70313"	"14911.05664"	"54396.67969"	"21565.32617"	"24886.45508"	"15902.05957"	"29847.82813"	"64493.72656"	"39680.21875"	"25171.48047"	"13816.76074"	"22541.85156"	"53252.38281"	"20371.43555"	"56385.49219"	"38601.05859"	"24775.70898"	"19908.96289"	"16857.1582"	"20510.50586"	"27513.88086"	"21507.76172"	"24957.38477"	"36197.92969"	"28497.43164"	"16655.1582"	"15639.51074"	"12564.75098"	"23179.83398"	"30005.11914"	"34432.09766"	"39840.67969"	"5640.930664"	"40628.88281"	"35500.14844"	"22467.14844"	"33129.60547"	"56545.43359"
"ID_1527_OP"	""	""	""	""	"196.059229"	""	""	"1"	"291.5603539"	""	""	""	""	""	""	""	""	""	""	""	""	"378916.0938"	""	""	""	""	""	""	""	""	"8619.567383"	""	""	""	""	""	"223402.4531"	""	""	""	""	""	"35249.19922"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"27526.13672"	"136105.7656"	""	""	""	""	""	""	""	""	""	"49529.17578"	"169857.9844"	""	""	""	""	""	""	""	""	""	""	""
"ID_15270_OP"	""	""	""	"n-BBS | Cyclo(L-Phe-L-Pro) | Gamma-aminobutyric acid receptor subunit alpha-1 | Etomidate | dianisidine | 2-(4'-Methylthio)butylmalic acid | 3-(4'-Methylthio)butylmalic acid"	"283.0838325"	""	"M+HCOOH+H | M+K | M+K | M+K | M+K | M+HCOOH+H | M+HCOOH+H"	"1"	"454.6489366"	""	""	""	""	"3"	""	""	""	""	""	""	"6657.73291"	"8511.307617"	""	"7950.465332"	"53424.22656"	"5450.178223"	"3383.623779"	"28783.45703"	"5271.445313"	"25179.94727"	"106879.6719"	"13283.39648"	""	"4214.271484"	""	"6760.401855"	""	"7107.927246"	"3838.253174"	"6108.339355"	"6727.48877"	""	"34457.33984"	"40298.62109"	"5513.666016"	""	""	"54051.27344"	"5943.849121"	"3524.2146"	"5915.573242"	"19951.42383"	"3583.789795"	""	"5934.606445"	""	"6933.571289"	"4861.212891"	"7983.834473"	"8005.277344"	""	"4631.773926"	"40400.33594"	"7782.963867"	""	"18757.54883"	"15406.3252"	""	"20157.55664"	"4216.778809"	"119759.2969"	"5122.517578"	"7862.151855"	""	"8804.454102"	"14862.73633"	"54614.82422"	"4413.213867"	"21134.21289"	"3817.528809"	"7491.522461"
"ID_15274_OP"	""	""	""	""	"526.6364737"	""	""	"1"	"531.9335503"	""	""	""	""	""	""	""	""	""	""	""	"15175.6543"	"14704.54199"	"65707.17188"	"24269.88086"	"15817.88086"	"35937.25391"	"13992.08789"	"44388.25781"	"22373.66992"	"43976.41016"	"65407.89063"	"60102.26953"	"33353.21875"	"19593.95703"	"38431.90234"	"19785.63086"	"29602.22656"	"13051.57617"	"24337.13867"	"23154.29492"	"51277.41016"	"17318.97656"	"13379.09668"	"20531.09766"	"56615.98438"	"46820.72266"	"18098.67969"	"35628.25391"	"13539.75098"	"27045.37891"	"22822.99805"	"9807.355469"	"47824.66016"	"71064.53125"	"10434.65527"	"16952.50977"	"83693.20313"	"19127.48047"	"15060.73438"	"69798.01563"	"13802.9248"	"37540.76563"	"18936.30469"	"24919.28906"	""	"42117.85156"	"18261.91602"	"11465.76465"	""	""	"30275.16602"	"45994.44141"	"21322.79492"	"18927.6543"	"34465.10156"	"121797.2969"	"43005.92578"	"16818.40625"	"10716.09082"	"25740.07813"	"34179.57813"
"ID_15286_OP"	""	""	""	""	"598.8420301"	""	""	"1"	"573.5753748"	""	""	""	""	""	""	""	""	""	""	""	"14598.70801"	"14538.27832"	"62049.48828"	"21565.91602"	"18944.64648"	"38839.32422"	"10345.4541"	"34175.27344"	""	"33444.8125"	"38150.17578"	"59383.69922"	"23319.87891"	"18700.36523"	"31357.70117"	"11636.80566"	"27622.37109"	""	"20126.42578"	"18294.84766"	"38647.34766"	"10617.89551"	""	"15678.86719"	"21975.74609"	"26105.52344"	"15500.44727"	"27056.10352"	"11932.43359"	"30697.74414"	"13375.10254"	""	"48375.91797"	"94931.75781"	""	"21986.3418"	"72244.21094"	"14057.17871"	"8450.652344"	"65357.42188"	"12107.18945"	"37012.97266"	"16711.30664"	"20294.47852"	""	"25459.77344"	"18807.56445"	"7589.078125"	""	"10471.28125"	"27365.61133"	"20230.97852"	"17173.59961"	"17408.67383"	"27885.94531"	"122152.1328"	"61545.77344"	"9817.113281"	""	"21527.35742"	"35471.45313"
"ID_15309_OP"	""	""	""	"N2-Succinyl-L-glutamic acid 5-semialdehyde | L-Coprine | proclavaminate | N-Acetyl-L-2-amino-6-oxopimelate | N-Succinyl-L-glutamate 5-semialdehyde | Proclavaminic acid | 4-methylene DAP | Serinyl-Proline | Prolyl-Serine | Coprine | Alanyl-Hydroxyproline | Hydroxyprolyl-Alanine"	"249.1083317"	""	"M+NH4 | M+HCOOH+H | M+HCOOH+H | M+NH4 | M+NH4 | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H"	"1"	"517.3763762"	""	""	""	""	"3"	""	""	""	""	""	""	"33924.77734"	"13746.37988"	"6645.290527"	"10985.95215"	"9356.21582"	"3200.103271"	"7659.686035"	"35044.77344"	"7216.40625"	"51550.49219"	"73149.1875"	"60196.61719"	"10028.95508"	"9691.305664"	""	"8815.680664"	"10024.88281"	"26407.66016"	"31175.24805"	"5173.915039"	"12028.03906"	"8025.904785"	"49535.88281"	"62355.49609"	"12746.48047"	"23567.79492"	"21653.19531"	"15284.43262"	"27077.94727"	"6941.463379"	"56003.71875"	"100353.375"	"7980.84082"	"7415.444824"	"18445.26172"	"2903.59668"	"12061.38086"	"62954.97266"	"4598.302734"	"11415.24414"	"21328.1582"	"39228.38281"	"55883.17578"	""	"10394.47754"	"50205.09766"	"14327.09082"	"8307.308594"	"118452.5313"	"9668.993164"	"24886.58789"	"15871.83594"	"92573.47656"	"8091.933594"	"77587.76563"	"56176.74219"	"49012.29688"	"10544.98828"	"31779.8418"	"12360.05957"	"27964.06836"
"ID_1548_OP"	""	""	""	"N-Lauroylglycine | botrydial"	"304.2104391"	""	"M+HCOOH+H | M+NH4"	"1"	"387.8651491"	""	""	""	""	"3"	""	""	""	""	""	""	"50651.4375"	"43290.63281"	"39142.71875"	"69574.07813"	"16354.24707"	""	"19677.79297"	"24025.56641"	"17524.4375"	"89506.74219"	"39290.32031"	"16760.77148"	"15580.01953"	"35291.26172"	"14332.97656"	"33875.5625"	"27854.99414"	"33796.58594"	"27132.04883"	"19469.19922"	"101962.2891"	"7081.213379"	"56099.79688"	"1384898"	"15374.6543"	"26570.94336"	"21689.52734"	"31227.91016"	"45751.0625"	""	""	"104163.2578"	"21829.8125"	""	"44240.77344"	"21418.78711"	"32501.17383"	"113867.1328"	"18613.91406"	"22797.26758"	"15016.48633"	"28658.8125"	"363137.9688"	"17632.9375"	"15567.42871"	"181488.9531"	""	"38096.33594"	"180955.5781"	"11626.13184"	"45310.52734"	"9910.78125"	"90406.63281"	"10168.59277"	"92800.53906"	"37910.30469"	"177538.9688"	"19141.32617"	""	"19008.75977"	"38857.33594"
"ID_155_OP"	""	""	""	"(S)-Codamine | Solute carrier family 22 member 7 | 10-Hydroxycamptothecin | Anomurine | (R)-Laudanidine | Tryptophyl-Methionine | 3-Hydroxyestra-1 |3 |5(10)-trien-17-one O-(carboxymethyl)oxime | Gossyrubilone | Laudanine | Methionyl-Tryptophan | (-)-Laudanidine"	"382.1413781"	""	"M+K | M+NH4 | M+NH4 | M+K | M+K | M+HCOOH+H | M+K | M+K | M+K | M+HCOOH+H | M+K"	"1"	"359.1320801"	""	""	""	""	"3"	""	""	""	""	""	""	"1005846"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"369670.25"	"144319.7031"	""	""	""	""	""	""	"2399499.75"	""	""	""	""	""	"167327.4063"	""	""	""	""	""	"150341.0313"	""	"1015043.875"	""	""	""	""	""	"8427869"	""	""	""	"1161018.375"	""	""	""	""	""	""	""	"803417.625"
"ID_15524_OP"	""	""	""	"12R-hydroxy-octadecanoic acid | 10R-hydroxyoctadecanoic acid | 13R-hydroxy-octadecanoic acid | 9S-hydroxy-octadecanoic acid | 9R-hydroxy-octadecanoic acid | 3R-hydroxy-octadecanoic acid | 2R-hydroxy-octadecanoic acid | 3-hydroxy-16-methyl-heptadecanoic acid | 18-hydroxy-octadecanoic acid | 17-hydroxy-octadecanoic acid | 16-hydroxy-octadecanoic acid | 6-hydroxy-octadecanoic acid | 5-hydroxy-octadecanoic acid | 8-hydroxy-octadecanoic acid | 7-hydroxy-octadecanoic acid | 10-hydroxy-octadecanoic acid | 9-hydroxy-octadecanoic acid | 11-hydroxy-octadecanoic acid | 12-hydroxy-octadecanoic acid | 13-hydroxy-octadecanoic acid | 14-hydroxy-octadecanoic acid | 15-hydroxy-octadecanoic acid | 4-hydroxy-octadecanoic acid | 3-hydroxy-octadecanoic acid | 2-hydroxy-octadecanoic acid | 9-methoxy-heptadecanoic acid | Fatty acid synthase | (R)-10-Hydroxystearate | (R)-2-Hydroxystearate | (S)-2-Hydroxystearate | xi-10-Hydroxyoctadecanoic acid | 1-monopalmitoylethylene glycol"	"323.2541991"	""	"M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na | M+Na"	"1"	"750.7235227"	""	""	""	""	"3"	""	""	""	""	""	""	"59527.57422"	"66654.83594"	"49288.39453"	"55956.29297"	"323210.3438"	"20340.42578"	"41362.21484"	"73686.70313"	"109324.5234"	"42274.625"	"408345.2813"	"81575.83594"	"52739.34766"	"31690.22656"	"28743.11719"	"134316.0313"	"45936.80078"	"26544.53906"	"115724.0391"	"109519.4297"	"81144.65625"	"58777.67188"	"85764.22656"	"147500.4063"	"42823.60547"	"72833.07031"	"70673.07813"	"194952.1875"	"71244.69531"	"40474.14063"	"135784.1875"	"59974.37109"	"55652.55469"	"100087.4375"	"41836.32031"	"101832.6328"	"150451.0156"	"100104.7188"	"299363.1563"	"98360.375"	"21903.39648"	"41852.33984"	"99318.77344"	"378428.7813"	"31607.53516"	"87037.02344"	"116972.5781"	"62337.66797"	"49375.78516"	"27063.24609"	"242278.4219"	"72342.41406"	"60546.18359"	"91693.59375"	"27013.31641"	"114423.0859"	"289170.5"	"70534.54688"	"62353.34375"	"110715.1641"	"47762.44531"
"ID_15544_OP"	""	""	""	""	"427.2541264"	""	""	"1"	"991.860974"	""	""	""	""	""	""	""	""	""	""	""	"99354.32813"	"104015.9922"	"88075.48438"	"85869.32031"	"94747.71094"	"70280.91406"	"77785.72656"	"80870.3125"	"71709.02344"	"83997.90625"	"124859.1172"	"98599.32813"	"136620.25"	"92841.24219"	"112675.0078"	"102533.1719"	"69402.64063"	"97726.14844"	"96608.10938"	"83679.20313"	"92728.6875"	"96213.71875"	"76793.30469"	"89231.64844"	"80460.89063"	"109803.0156"	"96559.98438"	"90235.94531"	"100590.4766"	"57924.66016"	"105878.6953"	"112509.4844"	"83999.09375"	"118487.1953"	"83160.96094"	"98766.28906"	"129469.2266"	"88285.02344"	"49273.73047"	"91571.50781"	"64621.50781"	"104751.6875"	"98234.01563"	"65597.05469"	"63932.05078"	"96832.46875"	"84740.54688"	"81737.28125"	"89674.90625"	"85737.40625"	"83069.82031"	"103642.8359"	"96041.96094"	"113304.5391"	"88151.92969"	"113278.4297"	"92761.91406"	"95549.78125"	"84820.46875"	"84283.71094"	"112038.1719"
"ID_15627_OP"	""	""	""	""	"830.5627428"	""	""	"1"	"984.0592416"	""	""	""	""	""	""	""	""	""	""	""	"116924.7266"	"62733.79297"	"134583.7656"	"165216"	"153704.0469"	"57785.66797"	"49671.55859"	"69342.21094"	"44325.4375"	"127607.2578"	"252054.8594"	"78187.10156"	"73978.28906"	"78229.57031"	"95988.60938"	"146982.375"	"65019.53906"	"119741.8594"	"127148.1328"	"113762.5391"	"229585.5938"	"79343.61719"	"137677.2344"	"130696.6328"	"139087.9531"	"67451.75781"	"71030.60156"	"121769.9297"	"115261.0703"	"87395.5625"	"89605.375"	"41444.14063"	"77084.35156"	"174404.25"	"62854.05078"	"101235.7266"	"91223.02344"	"67455.45313"	"33662.45703"	"111660.7188"	"46987.70313"	"89875.40625"	"126556.7656"	"44690.42188"	"103943.2109"	"85000.5625"	"131505.1875"	"74711.79688"	"154576.8281"	"129282.3594"	"154512.2344"	"112767.9297"	"52609.75781"	"93833.57813"	"56958.99609"	"142223.2188"	"64948.11328"	"72589.98438"	"87674.14063"	"114888.3281"	"90044.45313"
"ID_15647_OP"	""	""	""	""	"154.0462803"	""	""	"1"	"66.77842093"	""	""	""	""	""	""	""	""	""	""	""	"55408.23047"	"67776.07031"	"22859.33203"	"39817.12109"	"34953.87109"	"27927.69727"	"24407.65234"	"44187.29297"	"19555.45898"	"55935.10156"	"72553.875"	"31307.72852"	"21600.40234"	"25887.70117"	"24797.18164"	"28566.94727"	"30645.37695"	"35049.625"	"24370.09766"	"30092.76172"	"27200.13281"	"39756.91797"	"53184.71875"	"123864.5234"	"33332.62109"	"33903.45703"	"27250.81445"	"24792.20117"	"33032.03516"	"30545.17188"	"50964.16797"	"119069.5234"	"45569.76563"	"24397.44922"	"45793.63281"	"36219.9375"	"24306.08984"	"84721.21094"	"31387.19141"	"23807.45898"	"26368.96094"	"27924.85938"	"79007.57813"	"30185.5957"	"43445.32422"	"71695.82031"	"30120.03125"	"29228.57031"	"58421.12891"	"32406.51953"	"26643.29102"	"32379.12109"	"103981.7266"	"18566.70313"	"77307.14844"	"26607.59375"	"73903.57813"	"29739.29492"	"42703.40625"	"32007.35156"	"37151.97656"
"ID_15657_OP"	""	""	""	"Bromacil | m-Benzenedisulfonamide"	"283.0061421"	""	"M+Na | M+HCOOH+H"	"1"	"343.1138808"	""	""	""	""	"3"	""	""	""	""	""	""	"35894.94141"	"6076.927246"	"30804.43359"	"116229.8438"	"11554.80957"	"20163.32813"	"45634.65234"	"21195.99219"	"24263.28906"	"29637.3418"	"41008.94922"	"16216.01855"	"13882.84863"	"26917.96875"	"8679.417969"	"54285.05469"	"30276.83984"	"16731.55469"	"12618.86523"	"17830.375"	"24987.44727"	"6062.782227"	"17530.42578"	"37807.39063"	"14035.14453"	"16933.9375"	"32932"	"11243.67676"	"16736.47461"	"17650.25195"	""	""	"16053.14453"	"8224.887695"	"61283.17969"	"18136.21094"	"18137.18164"	"22096.62305"	""	"21142.06055"	"11670.03027"	"13569.62109"	"29341.56055"	"6379.677246"	"10539.15723"	"78710.14063"	"7408.387207"	"31662.73242"	"9308.041016"	"10184.43359"	"6667.379883"	"17391.39063"	""	"12958.16406"	"27557.21484"	"49376.23438"	"6497.029785"	"30525.77539"	"107978.7734"	"45525.58203"	"13586.86621"
"ID_1575_OP"	""	""	""	"Peroxisomal carnitine O-octanoyltransferase | L-Octanoylcarnitine | Ethylene brassylate | L-octanoylcarnitine | tetradecasphinga-4E |6E-dienine | dihydroartemisinic acid hydroperoxide | O-octanoyl-R-carnitine | (10S)-Juvenile hormone III acid diol"	"288.21552"	""	"M+H | M+H | M+NH4 | M+H | M+HCOOH+H | M+NH4 | M+H | M+NH4"	"1"	"480.7271598"	""	""	""	""	"3"	""	""	""	""	""	""	"783794.375"	"1181179.75"	"386999.5313"	"675344.4375"	"213591.4531"	"256585.875"	"258406.625"	"418829.3125"	"329843.4688"	"577066.875"	"801330.1875"	"371679.5313"	"379386.4688"	"514181.9375"	"164931.375"	"301968.3438"	"566851.1875"	"373928.9375"	"754952.3125"	"218130.25"	"1025022.563"	"150049.0625"	"666253.125"	"4038714"	"319841.875"	"319270.0938"	"354368.5313"	"418255.5625"	"509984.4688"	"504473.5"	"719022.4375"	"1468287.75"	"374977.9375"	"698838.75"	"661209.125"	"240964.2813"	"428260.5313"	"589042.125"	"341182.4375"	"453822.7813"	"618996.5"	"296948.2188"	"1289853.125"	"175698.5781"	"357942.5"	"924103.0625"	"329155.1563"	"291413.7813"	"1357927.125"	"92167.49219"	"251910.1875"	"324467"	"1079007.875"	"205874.9531"	"927758.875"	"376072.4375"	"526419.875"	"347664.9063"	"871414.625"	"377013.875"	"655575.625"
"ID_15802_OP"	""	""	""	""	"185.0406846"	""	""	"1"	"47.1249552"	""	""	""	""	""	""	""	""	""	""	""	"49977.58594"	"40529.70313"	"33508.96875"	"72831.40625"	"28007.65234"	"32058.88086"	"38886.47266"	"30090.34375"	"27547.42383"	"38402.43359"	"29656.14258"	"30749.4707"	"29294.76172"	"49761.40234"	"42445.66797"	"48399.91406"	"43634.19922"	"38784.29688"	"29686.08398"	"35032.02344"	"45109.91406"	"47293.03906"	"55640.55859"	"51748.57813"	"59610.40625"	"40236.47266"	"43106.03906"	"16725.29688"	"33759.14063"	"38135.00781"	"31171.9668"	"35614.36719"	"24028.80469"	"65211.21484"	"41660.23828"	"38803.04688"	"32714.17578"	"71599.5"	"26835.95703"	"43031.54688"	"52538.92188"	"30610.16797"	"114111.3125"	"28056.6875"	"59289.83594"	"28980.93164"	"26300.93359"	"38541.51172"	"53427.51172"	"62929.78906"	"17065.9082"	"41489.52734"	"16823.19727"	"41766.41797"	"33223.05859"	"25688.35547"	"21349.22852"	"32899.78516"	"59361.34766"	"53416.07422"	"31313.39648"
"ID_1588_OP"	""	""	""	"8-Hydroxynevirapine | 3-Hydroxynevirapine | Cytochrome P450 2A6 | 2-Hydroxynevirapine | Muscarinic acetylcholine receptor M1 | Metoclopramide | Transferred to D00727"	"300.1458579"	""	"M+NH4 | M+NH4 | M+NH4 | M+NH4 | M+H | M+H | M+H"	"1"	"296.2080822"	""	""	""	""	"3"	""	""	""	""	""	""	"1353466.875"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19173.36523"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"889047.8125"	""	""	""	""	""	""	"18696.48828"	"506466.6875"	""	""	""	""	""	"632799.8125"	""	""	""	""	""	""	""	"1241037.375"	""	""	""	""
"ID_15880_OP"	""	""	""	"(S)-3-Methylthiohexyl butyrate | (S)-3-Mercaptohexyl pentanoate"	"257.0983223"	""	"M+K | M+K"	"1"	"295.7442633"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"22399.68164"	""	"43601.87109"	"104547.2969"	"53329.83203"	""	""	""	""	""	""	"11423.60059"	"18997.625"	""	""	""	"50209.50391"	"44896.44531"	""	""	"70946.94531"	""	""	"12538.99609"	"28551.54492"	"65219.71484"	"19246.58203"	""	""	""	"34093.51953"	"14771.52344"	""	""	""	""	"26918.92578"	"71694.36719"	""	"15630.15234"	""	"21093.00195"	""	"94663.08594"	""	""	"99374.57031"	""	""	""	""	""	""	"36557.20703"	""	"31591.24805"	"51612.63672"	""	""
"ID_15910_OP"	""	""	""	"Cholic acid glucuronide | UDP glycosyltransferase 1 family polypeptide A7 | Caracurine V"	"607.3065099"	""	"M+Na | M+Na | M+Na"	"1"	"617.8848666"	""	""	""	""	"3"	""	""	""	""	""	""	"37821.24609"	""	""	"4244.24707"	""	"3190.497803"	"7100.497559"	"23375.9375"	""	""	""	"18238.90625"	"29878.7168"	""	"3707.276855"	"28649.26172"	"113359.0781"	""	""	""	""	"15300.95215"	""	"16434.17188"	""	""	"2374.500732"	"4181.42041"	""	"13301.31445"	"3972.293213"	""	""	""	"14616.42676"	""	"3192.691406"	"4547.061035"	""	""	""	""	"13621.54883"	""	"16596.43945"	"6431.520996"	""	"3296.062744"	""	""	""	"6802.461914"	""	""	"17309.77344"	"10462.93555"	"10770.10742"	"4402.77002"	""	"17934.37695"	"5776.063477"
